Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Box Quantity for Variants (product.metafields.custom.box_quantity_for_variants),Care guide (product.metafields.descriptors.care_guide),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Nightgown style (product.metafields.shopify.nightgown-style),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Box Quantity (product.metafields.wholesale.box_quantity),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Added with Markets Pro,Price / Added with Markets Pro,Compare At Price / Added with Markets Pro,Included / International,Price / International,Compare At Price / International,Status
waffle-beige-bathrobe,Beige Waffle Bathrobe,"<p><strong>Pre-Order<br><br>What makes this product so special?</strong></p>
<p>This Beige Waffle Bathrobe is made from 100% Turkish cotton for a comfortable yet durable home wear option. The waffle texture is designed to absorb moisture quickly and easily while providing comfort and texture. Whether you're relaxing at home or stepping out of the shower, this lightweight robe is the perfect companion.<br><br><span>Waffle Beige Bathrobe<br><strong><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Size:</span></span></strong><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">  XL -  </span><b><span style=""vertical-align: inherit;"">Designed to fit all shapes and sizes.</span></b></span><br></span><strong><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Material: </span></span></strong><span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""> 100% Cotton</span></span><br></span><strong><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Color:</span></span></strong><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""> Beige</span></span><br><strong><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">SKU:</span></span></strong><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">  LUX-WBXL</span></span></p>",Globaltex Fine Linens,Apparel & Accessories > Clothing > Sleepwear & Loungewear > Robes,"","",true,Color,white,product.metafields.shopify.color-pattern,,,,,,,LUX-BWBXL,0.0,shopify,deny,manual,115.00,145.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0765/3320/3253/files/1_logosuz.webp?v=1756388924,1,"",false,,"Experience the perfect blend of comfort and elegance with our Waffle Beige Bathrobe. Crafted from soft, breathable cotton with a stylish waffle texture, it delivers a true spa sensation at home or on vacation. Ideal for hotels, resorts, or personal self-care rituals, designed to keep you cozy while looking effortlessly refined.",,"Wash waffle bathrobes in warm water (40°C / 104°F) on a gentle cycle with similar colors.
Use a mild detergent without bleach or brighteners.
Tumble dry on low to medium heat (below 60°C / 140°F).
For best results, remove promptly after drying to maintain texture and shape.
For more details, please contact us at customerservice@globaltexusa.com.",,,,white,,,,,,,,,'16,,lb,,,true,,,true,,,true,,,active
waffle-beige-bathrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/4_logosuz.webp?v=1756389011,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffle-beige-bathrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/3_d67adc75-1e31-49ef-8161-7b22e905083d.webp?v=1756389011,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffle-beige-bathrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/2_logosuz.webp?v=1756389011,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffle-beige-bathrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/6_ddc08285-95ee-4bf2-9a04-46d8025a0e42.webp?v=1756389011,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waffle-beige-bathrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/5_logosuz.webp?v=1756389011,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sofya-beach-white-xl-bath-towel,Sofya Bath Sheet (XL White Towel),"<p data-start=""114"" data-end=""153""><strong data-start=""114"" data-end=""153"">What makes this product so special?</strong></p>
<p data-start=""155"" data-end=""524"">Wrap yourself in everyday luxury with the Sofya Bath Sheet by Globaltex Fine Linens. Crafted from 100% premium cotton, this oversized towel delivers exceptional softness and absorbency, making it the perfect companion after a relaxing bath or shower. Designed for both elegance and practicality, the Sofya Bath Sheet offers a spa-like experience right in your own home.</p>
<p data-start=""526"" data-end=""683""><strong data-start=""526"" data-end=""546"">Sofya Bath Sheet</strong><br data-start=""546"" data-end=""549"">Size: 35'' x 68'' inches (88 cm x 172 cm), XL Towel<br data-start=""600"" data-end=""603"">Material: 100% Cotton<br data-start=""624"" data-end=""627"">Color: White<br data-start=""639"" data-end=""642"">SKU: BEACH-WPT3568<br data-start=""661"" data-end=""664""><br></p>",Globaltex Fine Linens,Home & Garden > Linens & Bedding > Towels > Bath Towels & Washcloths > Bath Towels,Cotton,"",true,Title,Default Title,,,,,,,,BEACH-WPT3568,1043.262451,shopify,continue,manual,60.00,80.00,true,true,,,,,'91793717,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/Sofya_Bath_Sheet_1.webp?v=1753868689,1,"",false,Sofya Bath Sheet – Luxury XL White Towel,"Experience luxury and comfort with our Sofya XL White Bath Towel. Made from 100% premium cotton, sized 35″ x 68″ (88 x 172 cm), it is designed for superior softness and absorbency.",,"Wash bath towels in warm water (below 60°C / 140°F) on a gentle cycle with similar colors.
Use a mild detergent without bleach or brighteners.
Tumble dry on low to medium heat (below 60°C / 140°F) and remove promptly for softness.
Avoid contact with skincare products, as they may cause discoloration or stains.
For more details, please contact us at customerservice@globaltexusa.com",,,,,,,,,,,,,,,lb,,,true,,,true,,,true,,,active
sofya-beach-white-xl-bath-towel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/Sofya_Bath_Sheet_2.webp?v=1753868689,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sofya-beach-white-xl-bath-towel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/sofyabathsheet.jpg?v=1753868689,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sofya-beach-white-xl-bath-towel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/3320/3253/files/Sofya_Bath_Sheet_7.webp?v=1753868960,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
